"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalArea","IsRemodeled","IsRemodeledRecently","NewHouse","HouseAge","LastSold","TimeRemodeledSold","HouseInsideSF","FenceCondB","GarageFinishCondB","FunctionalB","BsmtFinishB1","BsmtFinishB2","ExterQualB","ExterCondlB","BsmtQualB","BsmtCondB","BsmtExposureB","HeatingQCB","KitchenQualB","FireplaceQuB","GarageQualB","GarageCondB","PoolQCBad","FenceCondG","GarageFinishCondG","FunctionalG","BsmtFinishG1","BsmtFinishG2","ExterQualG","ExterCondlG","BsmtQualG","BsmtCondG","BsmtExposureG","HeatingQCG","KitchenQualG","FireplaceQuG","GarageQualG","GarageCondG","IsPoolQCG","RegShape","LandContourLvl","LandSlopeGtl","ElectricalBreaker"
"1","60","RL",65,8450,"Pave",NA,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,4,3,"PConc",4,3,0,6,706,1,0,150,856,"GasA",5,"Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,"Attchd",2003,2,2,548,3,3,1,0,61,0,0,0,0,NA,NA,NA,0,"2","2008","WD","Normal",12.247694320221,14452,0,1,0,7,2,5,1710,NA,0,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,1,1,1,1
"2","20","RL",80,9600,"Pave",NA,"Reg","Lvl","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",4,3,6,5,978,1,0,284,1262,"GasA",5,"Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,"Attchd",1976,2,2,460,3,3,1,298,0,0,0,0,0,NA,NA,NA,0,"5","2007","WD","Normal",12.109010932687,15486,0,1,0,34,3,31,1262,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1
"3","60","RL",68,11250,"Pave",NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,4,3,"PConc",4,3,2,6,486,1,0,434,920,"GasA",5,"Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,"Attchd",2001,2,2,608,3,3,1,0,42,0,0,0,0,NA,NA,NA,0,"9","2008","WD","Normal",12.3171666930358,17542,1,1,0,9,2,6,1786,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"4","70","RL",60,9550,"Pave",NA,"IR1","Lvl","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,3,3,"BrkTil",3,4,0,5,216,1,0,540,756,"GasA",4,"Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,"Detchd",1998,1,3,642,3,3,1,0,35,272,0,0,0,NA,NA,NA,0,"2","2006","WD","Abnorml",11.8493977015914,15505,1,1,0,95,4,36,1717,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,0,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"5","60","RL",84,14260,"Pave",NA,"IR1","Lvl","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,4,3,"PConc",4,3,3,6,655,1,0,490,1145,"GasA",5,"Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,"Attchd",2000,2,3,836,3,3,1,192,84,0,0,0,0,NA,NA,NA,0,"12","2008","WD","Normal",12.4292161968444,22492,0,1,0,10,2,8,2198,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1
"6","50","RL",85,14115,"Pave",NA,"IR1","Lvl","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"Wood",4,3,0,6,732,1,0,64,796,"GasA",5,"Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,"Attchd",1993,1,2,480,3,3,1,40,30,0,320,0,0,NA,3,"Shed",700,"10","2009","WD","Normal",11.870599909242,19386,1,1,0,17,1,14,1362,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,NA,0,1,1,1
"7","20","RL",75,10084,"Pave",NA,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,4,3,"PConc",6,3,3,6,1369,1,0,317,1686,"GasA",5,"Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2004,2,2,636,3,3,1,255,57,0,0,0,0,NA,NA,NA,0,"8","2007","WD","Normal",12.6346030265693,18053,1,1,0,6,3,2,1694,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1
"8","60","RL",0,10382,"Pave",NA,"IR1","Lvl","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,3,3,"CBlock",4,3,2,5,859,4,32,216,1107,"GasA",5,"Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,"Attchd",1973,2,2,484,3,3,1,235,204,228,0,0,0,NA,NA,"Shed",350,"11","2009","WD","Normal",12.2060726455302,18167,0,1,0,37,1,36,2090,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,1
"9","50","RM",51,6120,"Pave",NA,"Reg","Lvl","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,3,3,"BrkTil",3,3,0,1,0,1,0,952,952,"GasA",4,"Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,"Detchd",1931,1,2,468,2,3,1,90,0,205,0,0,0,NA,NA,NA,0,"4","2008","WD","Abnorml",11.7745202026587,12386,1,1,0,79,2,58,1774,NA,1,0,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,0,1,0,0,1,1,1,1,0,1,1,1,0,1,NA,1,1,1,0
"10","190","RL",50,7420,"Pave",NA,"Reg","Lvl","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,0,6,851,1,0,140,991,"GasA",5,"Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,"Attchd",1939,2,1,205,4,3,1,0,4,0,0,0,0,NA,NA,NA,0,"1","2008","WD","Normal",11.6784399034478,11815,1,1,0,71,2,58,1077,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1
